,city,pop,murder,robbery,property_crime,murder_raw,robbery_raw,pop_sq
37,Cambridge Village,1854.0,0,0,44.0,0.0,0.0,3437316.0
38,Camden Village,2219.0,0,0,46.0,0.0,0.0,4923961.0
39,Camillus Town and Village,24165.0,0,0,348.0,0.0,0.0,583947225.0
40,Canandaigua,10470.0,0,1,315.0,0.0,9.0,109620900.0
41,Canastota Village,4704.0,0,0,60.0,0.0,0.0,22127616.0
42,Canisteo Village,2246.0,0,1,12.0,0.0,1.0,5044516.0
43,Canton Village,6794.0,0,1,93.0,0.0,1.0,46158436.0
44,Cape Vincent Village,762.0,0,0,2.0,0.0,0.0,580644.0
45,Carmel Town,34462.0,0,0,198.0,0.0,0.0,1187629444.0
46,Carroll Town,3481.0,0,0,8.0,0.0,0.0,12117361.0
47,Carthage Village,3862.0,0,0,60.0,0.0,0.0,14915044.0
48,Cattaraugus Village,980.0,0,0,4.0,0.0,0.0,960400.0
49,Cayuga Heights Village,3749.0,0,1,59.0,0.0,1.0,14055001.0
50,Cazenovia Village,2732.0,0,0,58.0,0.0,0.0,7463824.0
51,Central Square Village,1835.0,0,1,53.0,0.0,2.0,3367225.0
52,Chatham Village,1733.0,0,0,32.0,0.0,0.0,3003289.0
53,Cheektowaga Town,78361.0,0,1,2689.0,0.0,48.0,6140446321.0
54,Chester Town,7990.0,0,0,25.0,0.0,0.0,63840100.0
55,Chittenango Village,5016.0,0,0,65.0,0.0,0.0,25160256.0
56,Cicero Town,29571.0,0,1,440.0,0.0,2.0,874444041.0
57,Clarkstown Town,80705.0,0,1,1515.0,0.0,17.0,6513297025.0
58,Clyde Village,2049.0,0,1,60.0,0.0,3.0,4198401.0
59,Cobleskill Village,4503.0,0,1,218.0,0.0,3.0,20277009.0
60,Coeymans Town,7458.0,0,0,86.0,0.0,0.0,55621764.0
61,Cohoes,16179.0,0,1,243.0,0.0,11.0,261760041.0
62,Colonie Town,78215.0,0,1,1990.0,0.0,31.0,6117586225.0
63,Cooperstown Village,1827.0,0,0,16.0,0.0,0.0,3337929.0
64,Corning,11087.0,0,1,416.0,0.0,8.0,122921569.0
65,Cornwall-on-Hudson Village,2978.0,0,0,22.0,0.0,0.0,8868484.0
66,Cornwall Town,9543.0,0,0,42.0,0.0,0.0,91068849.0
67,Cortland,19331.0,0,1,398.0,0.0,3.0,373687561.0
68,Crawford Town,9264.0,0,1,113.0,0.0,2.0,85821696.0
69,Croton-on-Hudson Village,8180.0,0,1,53.0,0.0,1.0,66912400.0
70,Cuba Town,3209.0,0,0,81.0,0.0,0.0,10297681.0
71,Dansville Village,4605.0,0,1,152.0,0.0,1.0,21206025.0
72,Deerpark Town,7827.0,0,1,152.0,0.0,2.0,61261929.0
73,Delhi Village,2985.0,0,0,36.0,0.0,0.0,8910225.0
74,Depew Village,15189.0,0,1,310.0,0.0,2.0,230705721.0
75,Deposit Village,1628.0,0,0,14.0,0.0,0.0,2650384.0
76,Dewitt Town,22681.0,0,1,715.0,0.0,10.0,514427761.0
77,Dexter Village,1122.0,0,0,8.0,0.0,0.0,1258884.0
78,Dobbs Ferry Village,11021.0,0,0,104.0,0.0,0.0,121462441.0
79,Dolgeville Village,2191.0,0,0,41.0,0.0,0.0,4800481.0
80,Dryden Village,1913.0,0,1,99.0,0.0,1.0,3659569.0
81,Dunkirk,12329.0,0,1,307.0,0.0,12.0,152004241.0
82,East Aurora-Aurora Town,13774.0,0,1,131.0,0.0,2.0,189723076.0
83,Eastchester Town,19800.0,0,0,168.0,0.0,0.0,392040000.0
84,East Fishkill Town,29315.0,1,1,165.0,1.0,1.0,859369225.0
85,East Greenbush Town,16470.0,0,1,373.0,0.0,4.0,271260900.0
86,East Hampton Town,19674.0,0,1,300.0,0.0,1.0,387066276.0
87,East Hampton Village,1104.0,0,0,66.0,0.0,0.0,1218816.0
88,East Rochester Village,6596.0,1,1,125.0,1.0,3.0,43507216.0
89,East Syracuse Village,3036.0,0,1,147.0,0.0,4.0,9217296.0
90,Eden Town,7684.0,0,0,31.0,0.0,0.0,59043856.0
91,Ellenville Village,4124.0,0,1,173.0,0.0,2.0,17007376.0
92,Ellicott Town,5144.0,0,1,288.0,0.0,1.0,26460736.0
93,Elmira,28921.0,0,1,1027.0,0.0,29.0,836424241.0
94,Elmira Heights Village,4079.0,0,1,89.0,0.0,1.0,16638241.0
95,Elmira Town,5948.0,0,0,1.0,0.0,0.0,35378704.0
96,Endicott Village,13122.0,0,1,604.0,0.0,13.0,172186884.0
97,Evans Town,16292.0,0,1,313.0,0.0,1.0,265429264.0
98,Fairport Village,5335.0,0,0,53.0,0.0,0.0,28462225.0
99,Fallsburg Town,12109.0,1,0,162.0,1.0,0.0,146627881.0
100,Fishkill Town,20435.0,0,1,276.0,0.0,1.0,417589225.0
101,Floral Park Village,15926.0,0,1,72.0,0.0,7.0,253637476.0
102,Florida Village,2842.0,0,0,44.0,0.0,0.0,8076964.0
103,Fort Plain Village,2265.0,0,1,90.0,0.0,1.0,5130225.0
104,Frankfort Town,5033.0,0,0,50.0,0.0,0.0,25331089.0
105,Frankfort Village,2579.0,0,0,33.0,0.0,0.0,6651241.0
106,Franklinville Village,1702.0,0,1,32.0,0.0,1.0,2896804.0
107,Fredonia Village,10988.0,0,1,208.0,0.0,5.0,120736144.0
108,Freeport Village,43214.0,0,1,933.0,0.0,76.0,1867449796.0
109,Friendship Town,1960.0,0,0,16.0,0.0,0.0,3841600.0
110,Fulton City,11739.0,0,1,463.0,0.0,7.0,137804121.0
111,Garden City Village,22596.0,0,1,346.0,0.0,4.0,510579216.0
112,Gates Town,28468.0,0,1,1051.0,0.0,19.0,810427024.0
113,Geddes Town,10442.0,0,1,251.0,0.0,2.0,109035364.0
114,Geneseo Village,7891.0,0,1,162.0,0.0,3.0,62267881.0
115,Geneva,13194.0,1,1,343.0,1.0,5.0,174081636.0
116,Germantown Town,1926.0,0,0,9.0,0.0,0.0,3709476.0
117,Glen Cove,27134.0,0,1,62.0,0.0,1.0,736253956.0
118,Glen Park Village,526.0,0,0,5.0,0.0,0.0,276676.0
119,Glens Falls,14582.0,0,1,343.0,0.0,3.0,212634724.0
120,Glenville Town,21839.0,0,1,492.0,0.0,2.0,476941921.0
121,Gloversville,15315.0,0,1,686.0,0.0,6.0,234549225.0
122,Goshen Village,5400.0,0,1,64.0,0.0,1.0,29160000.0
123,Gowanda Village,2663.0,0,0,29.0,0.0,0.0,7091569.0
124,Granville Village,2498.0,0,0,26.0,0.0,0.0,6240004.0
125,Great Neck Estates Village,2794.0,0,0,20.0,0.0,0.0,7806436.0
126,Greece Town,96667.0,0,1,2303.0,0.0,60.0,9344508889.0
127,Greenburgh Town,44787.0,1,1,578.0,1.0,16.0,2005875369.0
128,Greene Village,1553.0,0,0,1.0,0.0,0.0,2411809.0
129,Green Island Village,2621.0,0,1,42.0,0.0,1.0,6869641.0
130,Greenport Town,4065.0,0,1,213.0,0.0,1.0,16524225.0
131,Greenwood Lake Village,3118.0,0,0,21.0,0.0,0.0,9721924.0
132,Groton Village,2381.0,0,0,38.0,0.0,0.0,5669161.0
133,Guilderland Town,33805.0,0,1,672.0,0.0,5.0,1142778025.0
134,Hamburg Town,45535.0,1,1,1167.0,1.0,12.0,2073436225.0
135,Hamburg Village,9517.0,0,0,161.0,0.0,0.0,90573289.0
136,Hammondsport Village,656.0,0,0,10.0,0.0,0.0,430336.0
137,Harrison Town,27876.0,0,1,225.0,0.0,1.0,777071376.0
138,Hastings-on-Hudson Village,7937.0,0,1,81.0,0.0,1.0,62995969.0
139,Haverstraw Town,37196.0,0,1,340.0,0.0,16.0,1383542416.0
140,Hempstead Village,55198.0,1,1,958.0,10.0,204.0,3046819204.0
141,Herkimer Village,7693.0,0,1,379.0,0.0,3.0,59182249.0
